feature,mean_importance
sqreturn_autocorrelation_ts1_lag1,-0.004479901929578702
return_correlation_ts1_lag_2,-0.0031065689352698335
sqreturn_correlation_ts1_lag_2,-0.0025512503390200158
return_autocorrelation_2_lag2,-0.0013534892342511374
return_autocorrelation_1_lag3,-0.000930376806027651
sqreturn_correlation_ts2_lag_1,-8.656897521821527e-05
return_mean1,7.296931178072674e-05
return_correlation_ts2_lag_1,0.0003995482063660169
return_correlation_ts1_lag_1,0.000541884590676478
sqreturn_correlation_ts1_lag_1,0.0008148928602674091
return_correlation_ts2_lag_2,0.0009414965310793625
sqreturn_correlation_ts2_lag_2,0.0010204815651044322
return_correlation_ts1_lag_3,0.0018366229786048016
sqreturn_correlation_ts1_lag_3,0.0024640639522833714
return_correlation_ts2_lag_3,0.002478489501356372
sqreturn_correlation_ts2_lag_3,0.002661752856053551
sqreturn_correlation_ts1_lag_0,0.002987416806180837
return_autocorrelation_2_lag1,0.006010539340015819
return_correlation_ts1_lag_0,0.006837327026827005
sqreturn_autocorrelation_ts2_lag1,0.008325713917857185
return_autocorrelation_2_lag3,0.009381982183873478
return_mean2,0.012108592698805144
return_autocorrelation_1_lag2,0.012989626772770668
price2_granger_cause_price1,0.014335976113802995
price1_granger_cause_price2,0.017509479288319037
return_autocorrelation_1_lag1,0.019947394795217066
sqreturn_autocorrelation_ts1_lag2,0.02184684158674972
sqreturn_autocorrelation_ts2_lag2,0.03120002876752386
sqreturn_autocorrelation_ts1_lag3,0.04397422814775837
return_skew1,0.04603887056783444
sqreturn_autocorrelation_ts2_lag3,0.05490513681274748
return_skew2,0.14637050146557953
return_sd2,0.19707447427688352
return_kurtosis1,0.2213119468323334
return_sd1,0.3099613808933785
return_kurtosis2,0.5593214067273797
