feature,mean_importance
return_mean2,-0.0064345501686493
return_mean1,-0.005380241840724364
return_correlation_ts1_lag_1,-0.0019091735518607655
sqreturn_correlation_ts1_lag_1,-0.0019091735518607321
return_skew2,-0.001433258039025742
sqreturn_correlation_ts2_lag_3,-0.0010677024488070397
return_correlation_ts2_lag_3,-0.0010677024488070174
return_autocorrelation_1_lag3,-0.0010613742590482866
return_autocorrelation_2_lag1,-0.0004565359583559081
return_correlation_ts2_lag_1,-0.00022234309730213565
sqreturn_correlation_ts2_lag_1,-0.00022234309730211342
sqreturn_correlation_ts1_lag_2,8.848907402903005e-06
return_correlation_ts1_lag_2,8.848907402903005e-06
return_autocorrelation_2_lag2,0.00028181093192395366
price1_granger_cause_price2,0.00030033362616370684
return_correlation_ts1_lag_3,0.0003258700804754433
sqreturn_correlation_ts1_lag_3,0.0003258700804754433
price2_granger_cause_price1,0.0006160049270925727
sqreturn_correlation_ts2_lag_2,0.0006176620731243254
return_correlation_ts2_lag_2,0.0006176620731243254
return_autocorrelation_1_lag2,0.0018930338618568965
return_autocorrelation_2_lag3,0.004230115208644236
sqreturn_autocorrelation_ts2_lag1,0.00440680324072582
return_autocorrelation_1_lag1,0.004901378421934411
sqreturn_autocorrelation_ts1_lag1,0.008056268034513314
return_sd1,0.013173030214938996
sqreturn_autocorrelation_ts2_lag2,0.018544628191555213
return_skew1,0.023723315946261203
sqreturn_autocorrelation_ts1_lag2,0.026216463965609938
sqreturn_autocorrelation_ts1_lag3,0.0280739737191286
sqreturn_autocorrelation_ts2_lag3,0.028651365964995634
return_correlation_ts1_lag_0,0.02961695825556394
sqreturn_correlation_ts1_lag_0,0.029616958255563975
return_kurtosis1,0.03750757717112002
return_sd2,0.07823054689206849
return_kurtosis2,0.4180568914924425
