feature,shap_importance
return_autocorrelation_lag1_rolling_sd2,1.3908116817474365
standardised_price_mean2,1.1927090883255005
return_autocorrelation_lag1_rolling_sd1,1.173877477645874
return_mean2,0.3618544042110443
return_sd2,0.3422040641307831
return_correlation_ts1_lag_0,0.327999472618103
return_mean1,0.3176920711994171
standardised_price_mean1,0.22526851296424866
co_integration_statistic,0.04197193682193756
price_adf_p_values,0.027854541316628456
price2_granger_cause_price1,0.015566280111670494
return_correlation_ts1_lag_3,0.012971913442015648
return_correlation_ts1_lag_2,0.008434546180069447
return_autocorrelation_lag1_1,0.0071530891582369804
return_sd1,0.006606051232665777
return_correlation_ts2_lag_3,0.004794900305569172
return_correlation_ts2_lag_2,0.0
durbin_watson_statistic2,0.0
durbin_watson_statistic1,0.0
return_kurtosis1,0.0
return_correlation_ts2_lag_1,0.0
return_kurtosis2,0.0
return_correlation_ts1_lag_1,0.0
return_skew1,0.0
return_skew2,0.0
return_autocorrelation_lag1_2,0.0
price1_granger_cause_price2,0.0
