feature,mean_importance
durbin_watson_statistic2,-0.0007826242429953952
price2_granger_cause_price1,-0.00028425291378240714
return_sd1,-0.00023449955423242956
return_correlation_ts2_lag_1,-1.1372848601368807e-05
return_autocorrelation_lag1_2,-7.926214686121424e-06
return_correlation_ts1_lag_1,-3.7719023505355943e-06
return_kurtosis1,-3.414625051784137e-06
return_correlation_ts1_lag_2,3.320455995395322e-07
return_correlation_ts2_lag_2,4.412138755302552e-06
return_autocorrelation_lag1_1,2.0151465878830848e-05
return_skew2,2.5955135875302405e-05
price1_granger_cause_price2,3.550058632880264e-05
return_correlation_ts1_lag_3,4.364861722240404e-05
return_correlation_ts2_lag_3,6.764144051948917e-05
return_mean1,0.00047238150276654944
return_skew1,0.0005483992004732974
price_adf_p_values,0.000995026687172533
co_integration_statistic,0.001154637681936184
return_mean2,0.001237943765646452
durbin_watson_statistic1,0.001583888916210354
return_correlation_ts1_lag_0,0.0017014768349305673
return_kurtosis2,0.0021998780288806424
return_sd2,0.017911316067650198
return_autocorrelation_lag1_rolling_sd1,0.042548657726541476
standardised_price_mean1,0.06875448008462465
return_autocorrelation_lag1_rolling_sd2,0.07728182255155198
standardised_price_mean2,0.1350154047663446
