feature,mean_importance
price1_granger_cause_price2,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
durbin_watson_statistic2,0.0
co_integration_statistic,0.0
return_correlation_ts2_lag_3,0.0
return_autocorrelation_lag1_1,0.0
return_autocorrelation_lag1_2,0.0
return_skew2,0.0
return_skew1,0.0
return_kurtosis2,0.0
durbin_watson_statistic1,0.0
price2_granger_cause_price1,0.0002833725049577962
price_adf_p_values,0.0006949713175324279
return_sd1,0.001171118843144392
return_kurtosis1,0.0017910312304551645
return_mean1,0.0060423443029666846
return_mean2,0.014583343918296115
standardised_price_mean2,0.016043516308411797
return_sd2,0.03071218352208193
standardised_price_mean1,0.034821335508905614
return_correlation_ts1_lag_0,0.061270905260382036
return_autocorrelation_lag1_rolling_sd1,0.0920679863499499
return_autocorrelation_lag1_rolling_sd2,0.22291753607234735
