feature,mean_importance
price1_granger_cause_price2,-0.0005370682902386848
price2_granger_cause_price1,-0.0005183355110403409
return_autocorrelation_lag1_2,-0.0003965028102592
return_correlation_ts1_lag_2,-0.00031422995294818343
return_autocorrelation_lag1_1,-0.00013342049830060155
return_correlation_ts1_lag_3,-4.466216377113363e-05
return_correlation_ts2_lag_1,-1.786714747251672e-05
return_correlation_ts1_lag_1,0.00015552343422532976
return_correlation_ts2_lag_3,0.00021108194784102697
return_correlation_ts2_lag_2,0.00044205986064621837
return_mean1,0.0010485123546403019
return_skew1,0.001595262284089971
price_adf_p_values,0.0021012258962093606
durbin_watson_statistic1,0.0027054542705202355
return_skew2,0.004625331523720152
return_mean2,0.005781406953789772
co_integration_statistic,0.007846015343698231
return_correlation_ts1_lag_0,0.009425376643701727
return_kurtosis1,0.009465728852533078
durbin_watson_statistic2,0.011108778366654335
standardised_price_mean1,0.015100893344195529
return_sd1,0.028542072746395315
return_sd2,0.030143359220369526
return_kurtosis2,0.04491917131659275
return_autocorrelation_lag1_rolling_sd2,0.052308299676938244
standardised_price_mean2,0.09129336341261003
return_autocorrelation_lag1_rolling_sd1,0.10940226441896217
