feature,mean_importance
durbin_watson_statistic1,-0.0019427742291538666
price_adf_p_values,-1.3877787807814458e-18
return_correlation_ts2_lag_3,-1.3877787807814458e-18
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
price2_granger_cause_price1,0.0
durbin_watson_statistic2,0.0
price1_granger_cause_price2,0.0
return_kurtosis1,0.0
return_skew2,0.0
return_skew1,0.0
return_sd1,0.0
co_integration_statistic,0.0
return_mean1,0.0
return_autocorrelation_lag1_1,0.0
return_autocorrelation_lag1_2,0.0
return_kurtosis2,0.004672981182425919
standardised_price_mean2,0.022162008429324732
return_correlation_ts1_lag_0,0.031243951544716597
return_sd2,0.059996061179376135
standardised_price_mean1,0.07238221386043059
return_mean2,0.12987753023393034
return_autocorrelation_lag1_rolling_sd1,0.22916825653597012
return_autocorrelation_lag1_rolling_sd2,0.5291719436523339
