feature,mean_importance
return_sd2,-0.0025364861266284344
return_skew1,-0.0014543952303786162
return_kurtosis2,-0.0007902004974188415
price2_granger_cause_price1,-0.0004537992173494293
return_correlation_ts1_lag_0,-0.00027969825788657363
return_correlation_ts2_lag_1,-0.0001646620199365012
price1_granger_cause_price2,-4.8287341119071514e-05
return_correlation_ts1_lag_2,-6.93090881132008e-06
return_autocorrelation_lag1_2,3.626874858892459e-05
return_correlation_ts2_lag_2,0.00010019185673749986
return_correlation_ts1_lag_3,0.00011076411820797605
return_correlation_ts1_lag_1,0.00012007919881925899
return_autocorrelation_lag1_1,0.00017167231252619984
return_skew2,0.0003219858609972065
return_correlation_ts2_lag_3,0.0008676442449909061
return_mean1,0.0014954763477807499
return_kurtosis1,0.0027097367847841642
return_mean2,0.005626397437624992
return_sd1,0.050207523408615874
return_autocorrelation_lag1_rolling_sd1,0.2626912416752494
return_autocorrelation_lag1_rolling_sd2,0.47410360735503454
