feature,mean_importance
price2_granger_cause_price1,-0.008055572736565885
return_skew1,-0.004237439456788436
return_autocorrelation_lag1_1,-0.0019628148203518327
price1_granger_cause_price2,-0.0008341505788135555
return_autocorrelation_lag1_2,-0.0006680941679179542
return_correlation_ts2_lag_1,-0.0006144673563061559
return_correlation_ts1_lag_2,6.715340303705409e-05
return_sd2,0.0009048874641708032
return_correlation_ts1_lag_3,0.0015488283360125365
return_kurtosis1,0.0021974411597818376
return_correlation_ts1_lag_0,0.0022101525201319305
return_correlation_ts2_lag_2,0.0027619743767916425
return_correlation_ts1_lag_1,0.0036317916759296075
return_correlation_ts2_lag_3,0.00780892175801382
return_mean2,0.019804140072575062
return_mean1,0.022036924646656793
return_skew2,0.047077867685955746
return_kurtosis2,0.11203676189803542
return_sd1,0.17498423228883797
return_autocorrelation_lag1_rolling_sd2,0.7471741194658945
return_autocorrelation_lag1_rolling_sd1,0.8406469718265178
