feature,shap_importance
return_autocorrelation_lag1_rolling_sd2,2.8843391953887347
return_autocorrelation_lag1_rolling_sd1,1.8626388039787845
return_sd1,1.1150234072698737
return_skew1,0.28203858739425536
return_kurtosis1,0.2307461161445214
return_mean2,0.11946907115486499
return_kurtosis2,0.1007157728636612
return_skew2,0.07374945634816395
return_mean1,0.06465608093713898
return_sd2,0.05952632961986503
return_correlation_ts1_lag_0,0.054545204985415444
return_correlation_ts2_lag_3,0.017384007864488186
return_correlation_ts1_lag_3,0.013741346598055572
return_autocorrelation_lag1_1,0.012678590278383358
return_correlation_ts2_lag_1,0.011716098672005727
return_correlation_ts1_lag_1,0.01083362517750331
return_correlation_ts2_lag_2,0.009211482148623636
price2_granger_cause_price1,0.005100052948095854
return_autocorrelation_lag1_2,0.0046460835589898445
return_correlation_ts1_lag_2,0.003196353532140103
price1_granger_cause_price2,0.002865090561595889
