feature,shap_importance
return_autocorrelation_lag1_rolling_sd2,0.3545612305186201
return_autocorrelation_lag1_rolling_sd1,0.10724145143183401
return_correlation_ts1_lag_0,0.031010875393503595
return_sd1,0.01279664258343989
return_mean1,0.008288830177211381
return_autocorrelation_lag1_1,0.006680878783896785
return_sd2,0.006252129859112113
return_mean2,0.0018145073259306483
return_correlation_ts1_lag_2,0.0013991246748930007
return_kurtosis1,0.0005075614446929114
return_correlation_ts2_lag_2,0.0004947829459854043
return_correlation_ts2_lag_1,0.00030844787018077596
return_correlation_ts2_lag_3,0.00021882322244443198
return_skew2,0.0
return_kurtosis2,0.0
return_autocorrelation_lag1_2,0.0
return_skew1,0.0
return_correlation_ts1_lag_1,0.0
return_correlation_ts1_lag_3,0.0
price2_granger_cause_price1,0.0
price1_granger_cause_price2,0.0
