feature,mean_importance
return_kurtosis1,-0.0012617786009276432
return_correlation_ts1_lag_2,-0.0009386055188570746
price1_granger_cause_price2,-2.7755575615628915e-18
return_correlation_ts1_lag_3,-2.7755575615628915e-18
return_correlation_ts1_lag_1,-2.7755575615628915e-18
return_correlation_ts1_lag_0,-2.7755575615628915e-18
return_autocorrelation_lag1_2,-2.7755575615628915e-18
return_correlation_ts2_lag_1,-2.7755575615628915e-18
return_correlation_ts2_lag_2,-2.7755575615628915e-18
return_skew2,-2.7755575615628915e-18
return_kurtosis2,-2.7755575615628915e-18
return_skew1,0.0
return_sd2,0.0
return_sd1,0.0
return_mean2,0.0
return_autocorrelation_lag1_1,0.00035935931674825616
return_correlation_ts2_lag_3,0.00037994538307567217
price2_granger_cause_price1,0.0005007474246780941
return_mean1,0.15271039985673002
return_autocorrelation_lag1_rolling_sd2,0.40457166878098816
return_autocorrelation_lag1_rolling_sd1,0.42873917048672283
