feature,mean_importance
return_autocorrelation_lag1_2,-0.0030026854661366177
return_skew1,-0.0011528080422239738
return_mean1,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
return_correlation_ts1_lag_0,0.0
price1_granger_cause_price2,0.0
return_kurtosis1,0.0
return_correlation_ts2_lag_1,1.1102230246251566e-17
return_correlation_ts2_lag_2,1.1102230246251566e-17
price2_granger_cause_price1,0.00015653883252518818
return_correlation_ts1_lag_3,0.0022713550124500103
return_skew2,0.0023693249261497297
return_kurtosis2,0.002731847583620645
return_sd2,0.00567985545773988
return_autocorrelation_lag1_1,0.013770863388353182
return_sd1,0.06793253238919073
return_mean2,0.14447480148681496
return_autocorrelation_lag1_rolling_sd1,0.2989626400264146
return_autocorrelation_lag1_rolling_sd2,0.37985078555811547
