,0,1,2
0,"[-0.09554505  0.81906783  2.001383   -0.11392196  0.725233    1.03000403
  0.17210155  0.1467831   0.09743673  0.21444448  0.24505359  0.38148572
  0.16555531  0.44750889  0.0970051   0.09330894  0.26260342  0.02800868
  0.40338227  0.44625327  0.15111386  0.24464511]",0 days 04:44:57.504437000,3939.85783720767
1,"[-0.1242427   0.80363089  1.33803761 -0.17056405  0.88158115  2.16826979
  0.11169611  0.20177744  0.0198915   0.10175148  0.42853166  0.20893658
  0.26744142  0.2873639   0.27855546  0.17272138  0.02553736  0.18022871
  0.43952857  0.44004499  0.41544926  0.50826654]",0 days 04:34:49.614843000,4088.0838173015095
2,"[-0.16784301  0.75497061  1.16485992 -0.15944588  0.8070402   1.60623581
  0.13217556  0.11382109  0.21258863  0.00924639  0.26870396  0.18169671
  0.20822304  0.2661458   0.17964292  0.17521625  0.16073306  0.40479992
  0.09803732  0.45384968  0.39995162  0.20329601]",0 days 04:44:50.223447000,4156.893099720466
3,"[0.09879867 0.58715274 1.08213223 0.09672516 0.44355415 0.73900534
 0.10335849 0.11928797 0.22643227 0.08708123 0.40351085 0.42492906
 0.31948145 0.40404839 0.12338845 0.15044461 0.20463332 0.42364783
 0.28495827 0.14643521 0.26988265 0.40536018]",0 days 04:44:54.546043000,4706.030114186618
4,"[-0.12412654  0.6760323   0.38196603  0.04619937  0.50694215  2.
  0.03005251  0.11055232  0.17260388  0.08389285  0.41341934  0.3986945
  0.13214004  0.40351085  0.279736    0.11942834  0.26914884  0.44165533
  0.04218758  0.06100971  0.14823735  0.40157596]",0 days 04:46:16.900219000,4085.2926451268604
5,"[-0.21899716  0.91972813  2.61803397 -0.13545711  0.90027273  0.79896039
  0.24262689  0.19726557  0.07286927  0.12499133  0.32037267  0.18425204
  0.40635208  0.19414983  0.0264499   0.08322537  0.10246403  0.16118193
  0.42196709  0.41209678  0.69662827  0.50290104]",0 days 04:41:10.324048000,3702.068762457488
6,"[ 0.00277099  0.60744138  0.99999987 -0.29612712  0.83015029  2.38660184
  0.24630426  0.06364114  0.05720578  0.06796985  0.40351186  0.40351085
  0.44278472  0.52678934  0.17634409  0.11248728  0.24408489  0.43763298
  0.40351085  0.5322777   0.24247446  0.14810894]",0 days 04:46:45.999288000,4357.062407164166
7,"[-1.35344669e-01  7.88524802e-01  1.23652915e+00  5.93008130e-04
  9.00770168e-01  9.94965357e-01  2.14681039e-01  2.00459484e-02
  1.90261910e-01  7.60780497e-02  1.06203798e-01  2.84772489e-01
  2.61228078e-01  1.96754836e-01  4.87817036e-02  2.58598899e-02
  1.19090350e-01  1.35230814e-01  4.03510849e-01  4.98799250e-01
  6.55912795e-01  3.40578227e-01]",0 days 04:32:29.892519000,3685.762366874022
8,"[-0.1728363   1.02365872  1.99933417 -0.15676899  0.38247701 -0.76056221
  0.11407143  0.22272319  0.08033847  0.11578079  0.20893249  0.30536325
  0.40392286  0.33769415  0.21383532  0.08041644  0.11355917  0.22828159
  0.09452025  0.1700529   0.21690127  0.21633976]",0 days 04:23:34.069661000,3952.5715738314298
9,"[-0.29136877  0.85081632  1.17394202 -0.03045982  0.58720036  1.17672182
  0.10476903  0.0343681   0.14557098  0.09361963  0.40845427  0.6948385
  0.56223562  0.33651159  0.26397416  0.11703654  0.42749789  0.18848338
  0.24505359  0.38342411  0.11978769  0.40343139]",0 days 04:38:50.891884000,4506.263721141846
10,"[-0.12627241  0.75171122  1.381966   -0.13312721  0.71099314  1.00173837
  0.18861048  0.07218952  0.15781773  0.20317252  0.14953273  0.09874445
  0.15727838  0.30462363  0.07579415  0.13471517  0.30921969  0.06549548
  0.03385963  0.11294009  0.18926492  0.35527488]",0 days 04:37:23.885313000,3774.816063881964
11,"[-0.16774904  0.64631448  1.         -0.17675506  0.80464478  1.44800374
  0.15196795  0.09443016  0.09228233  0.10440942  0.29046444  0.04500346
  0.43526646  0.2642891   0.23507001  0.08250547  0.1192388   0.27209694
  0.40338171  0.24488977  0.45930398  0.29045871]",0 days 04:36:16.186510000,4035.127072300426
12,"[-0.05532942  1.          1.62616459  0.1         0.50815753  1.93971417
  0.12936044  0.02375194  0.03171855  0.0792202   0.26773226  0.69537941
  0.69724667  0.50826176  0.1507557   0.28625603  0.1209032   0.24921085
  0.36795626  0.1903084   0.08362035  0.33975323]",0 days 04:38:53.338620000,3825.83651841009
13,"[-0.15741498  0.86639166  1.618034   -0.29297446  0.38451343 -0.53913927
  0.14844712  0.12154496  0.08977192  0.02177335  0.52449624  0.40342072
  0.13476241  0.36273313  0.09521608  0.14222047  0.27525936  0.17252688
  0.2587193   0.40567587  0.09155616  0.22878193]",0 days 04:26:40.946957000,3970.0981122078447
14,"[-0.22169851  0.69266732  1.381966   -0.12660662  0.68810616 -0.07763967
  0.22720044  0.10699062  0.18302744  0.11339268  0.35464711  0.40483598
  0.37263567  0.40347844  0.0986345   0.07214919  0.06787581  0.14285341
  0.15829264  0.27587314  0.40189049  0.40433394]",0 days 04:24:55.624790000,4038.5029810751867
15,"[ 0.10000007  1.00044418  4.70921802 -0.18365534  0.76672779  0.36032414
  0.29786685  0.2727237   0.12331668  0.11135061  0.41696252  0.01246095
  0.14153314  0.25565154  0.08050705  0.17838928  0.09029479  0.15545236
  0.05784031  0.26097184  0.15685122  0.4271151 ]",0 days 04:40:06.904401000,3896.0725099862325
