feature,mean_importance
return_correlation_ts1_lag_1,-0.2593716525489969
return_mean1,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_0,0.0
return_autocorrelation_lag1_rolling_sd2,0.0
price2_granger_cause_price1,0.0
return_autocorrelation_lag1_rolling_sd1,0.0
return_autocorrelation_lag1_1,0.0
return_skew2,0.0
return_skew1,0.0
return_sd1,0.0
return_mean2,0.0
return_autocorrelation_lag1_2,0.0
price1_granger_cause_price2,0.0
return_kurtosis2,1.1486458898759182
return_sd2,2.1120263135738475
return_kurtosis1,4.8169021187340695
