feature,mean_importance
return_autocorrelation_lag1_rolling_sd1,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
return_correlation_ts1_lag_0,0.0
price2_granger_cause_price1,0.0
return_autocorrelation_lag1_2,0.0
price1_granger_cause_price2,0.0
return_skew2,0.0
return_skew1,0.0
return_autocorrelation_lag1_1,0.0
return_mean1,7.877546822888381e-05
return_sd2,0.00045640691258442
return_correlation_ts2_lag_2,0.0007242812850009522
return_sd1,0.001003538149184202
return_mean2,0.0020866238437164814
return_autocorrelation_lag1_rolling_sd2,0.0027342305529391682
return_kurtosis2,0.24051823334275993
return_kurtosis1,0.5035845957182605
