feature,mean_importance
return_autocorrelation_lag1_rolling_sd1,-0.00023914641054493223
return_sd2,-9.209038013298156e-05
durbin_watson_statistic2,-7.262066649405506e-05
co_integration_statistic,-4.182366213423931e-05
return_skew1,-8.063019524225807e-06
return_correlation_ts1_lag_3,2.5516412767632305e-06
price_adf_p_values,2.912431643870006e-06
return_correlation_ts2_lag_3,1.3791928231124406e-05
return_correlation_ts2_lag_1,1.5403087855392003e-05
durbin_watson_statistic1,2.2834428524837538e-05
return_correlation_ts1_lag_1,2.4427557055820005e-05
return_autocorrelation_lag1_1,3.6933526024068854e-05
return_autocorrelation_lag1_2,3.939081373525964e-05
return_correlation_ts2_lag_2,4.4543154423116665e-05
return_correlation_ts1_lag_2,6.158295613464156e-05
return_skew2,0.00010252107232717884
return_sd1,0.00011057626958647197
price1_granger_cause_price2,0.0004221075319608764
return_mean1,0.000743022389152935
price2_granger_cause_price1,0.0009924296949137233
return_autocorrelation_lag1_rolling_sd2,0.001639664895059214
standardised_price_mean1,0.003463238944223524
return_kurtosis1,0.0047353817368506555
return_kurtosis2,0.009298102779581903
standardised_price_mean2,0.013550567506613608
return_mean2,0.08349515300181407
return_correlation_ts1_lag_0,0.24468375750167085
