feature,mean_importance
durbin_watson_statistic1,-0.002311402570612553
return_mean1,-0.0014532083405375596
return_correlation_ts1_lag_3,-0.0011753547813102504
price1_granger_cause_price2,-0.001022241966302917
price_adf_p_values,-0.0006777989593927502
return_sd1,-0.00037418259899735793
return_correlation_ts2_lag_3,-0.0003650711935426321
return_correlation_ts2_lag_2,-0.0002860140176388526
return_autocorrelation_lag1_1,8.361241204452586e-05
return_correlation_ts2_lag_1,0.00041083636970132287
return_autocorrelation_lag1_2,0.0004346381497165153
durbin_watson_statistic2,0.0008905879901016433
return_correlation_ts1_lag_1,0.0010068227406892839
return_correlation_ts1_lag_2,0.0014054557581905768
return_skew1,0.0020523636776344834
return_sd2,0.002559725373295996
return_skew2,0.004091127107973241
price2_granger_cause_price1,0.0050853849362744894
co_integration_statistic,0.006080538345244113
return_kurtosis2,0.018953096961534133
return_autocorrelation_lag1_rolling_sd2,0.022795323989692928
return_autocorrelation_lag1_rolling_sd1,0.022930831530932817
standardised_price_mean2,0.025570062858990154
standardised_price_mean1,0.04460554564330567
return_kurtosis1,0.04502113954165237
return_mean2,0.06657228336937948
return_correlation_ts1_lag_0,0.0925060325661031
