,0,1,2
0,"[ 4.95334558  1.22935004  4.976689    1.06550835 -3.08829379 -1.63054302
 -3.30162648 -1.43033259]",0 days 02:50:37.002199000,336.2774325047279
1,"[ 4.53501808  1.16376916  4.41385705  1.06430769 -2.98279218 -1.53844004
 -2.60448823 -1.42496795]",0 days 02:04:05.249612000,344.72035617563904
2,"[ 4.21675912  0.98038238  6.92814872  1.41091438 -2.99919585 -1.47935403
 -3.83024865 -1.5341582 ]",0 days 03:09:50.415080000,338.4799554220615
3,"[ 4.95660127  1.25383568  3.16314983  0.59604775 -3.56276762 -1.49692718
 -3.9615418  -1.40716219]",0 days 04:20:57.896913000,341.89243965592726
4,"[ 2.09129919  0.57781912  1.16348212  0.48401444 -8.10267342 -1.42960755
 -3.24899008 -1.37835459]",0 days 03:04:21.514417000,363.1297725111042
5,"[ 3.31474153  0.77275979  4.38022685  0.84219175 -2.69678086 -1.37790836
 -2.35067767 -1.53166036]",0 days 01:58:14.159872000,356.1133269337876
6,"[ 2.92911976  0.68593103  1.56482636  0.3662307  -3.23014595 -1.42029952
 -4.61055692 -1.34075235]",0 days 03:12:40.024888000,377.8462749708936
7,"[ 3.53947941  0.906596    5.17259227  1.11120343 -4.18380658 -1.43204634
 -2.59629236 -1.56031767]",0 days 01:59:22.495817000,321.0248070923618
8,"[ 5.01330883  1.22005463  3.51324415  0.69955118 -4.67491566 -1.4433079
 -6.18455841 -1.36910751]",0 days 03:17:38.446148000,333.9502092276721
9,"[ 5.70589026  1.37516374  2.37443879  0.64224234 -4.12398565 -1.65164838
 -4.78185919 -1.44030691]",0 days 04:17:41.886419000,346.6764239557135
10,"[ 3.64559292  0.84958827  5.63757906  1.1908841  -3.6178609  -1.46428474
 -2.74468433 -1.38814223]",0 days 03:09:55.292178000,351.7913571695997
11,"[ 7.24476597  1.50519893  7.43309965  1.47188911 -5.24620256 -1.5315635
 -3.7927259  -1.63364336]",0 days 07:17:42.510613000,325.4118244151486
12,"[ 4.33953739  1.00044899  6.05386243  1.33724567 -2.69300148 -1.52300319
 -2.77714867 -1.41638539]",0 days 03:01:14.328873000,364.97550577889575
13,"[ 4.11682841  1.0862076   2.93429813  0.56433648 -5.62247096 -1.43466174
 -3.78523068 -1.39133403]",0 days 03:59:32.050049000,355.94146298132614
14,"[ 3.38420319  0.78115489  4.34029611  0.99116361 -2.99246328 -1.46346664
 -1.86061588 -1.64758214]",0 days 04:05:19.465479000,346.7335373389395
15,"[ 0.84779292  0.5303488   1.95960339  0.52456279 -6.63516022 -1.37050955
 -2.42238768 -1.54708277]",0 days 02:09:04.164418000,360.97353527698624
