,0,1,2
0,"[ 3.4527868   1.66861504  3.04794477  1.10425829 -2.69348261 -1.35387598
 -1.75688804 -2.15122355 -0.0810739  -0.01947099  0.02502748  0.06722344]",1 days 01:32:30.617397000,3912.441606112126
1,"[ 3.25700103  0.80659     2.57530424  0.66852343 -5.04849593 -1.4642914
 -1.41241045 -2.33037653 -0.04054083  0.023994    0.01101772 -0.07450254]",1 days 13:31:13.036304000,3673.7224756659984
2,"[ 3.41136883e+00  4.72480332e-01  3.25071475e+00  1.59770028e+00
 -3.22387470e+00 -1.36542604e+00 -1.35449612e+00 -4.59457906e+00
  1.67303826e-03  1.76440133e-02  2.60225679e-02 -8.58199542e-02]",1 days 09:52:03.967030000,3815.1088331082487
3,"[ 5.62889398  0.94722783  3.5380419   0.9169502  -1.47828738 -2.13964627
 -4.03547187 -1.26152899  0.02830566 -0.05390086  0.10055033 -0.05497542]",1 days 16:17:20.395563000,3937.7068431233383
4,"[ 3.91028333  1.05270054  3.3362416   0.73865085 -4.92845465 -1.25079134
 -5.09573624 -1.22960581 -0.02377212  0.07388102  0.10459681 -0.02355465]",1 days 08:38:51.043402000,3804.249302415663
5,"[ 3.57982254  0.55257053  3.51434665  1.65932988 -9.89901229 -1.42051798
 -1.27947511 -3.33565161 -0.05711147 -0.08549731  0.13096326  0.01439032]",1 days 08:27:15.640408000,4027.2718623264227
6,"[ 4.43692541  1.02381183  4.45815669  1.28656449 -3.92756614 -1.05981627
 -1.23946793 -3.06572546  0.14767397 -0.04968594  0.0897315  -0.07524302]",1 days 12:49:39.259679000,3879.771315981237
7,"[ 3.04293807  1.13055617  0.95574169  0.99476201 -1.8652079  -1.89679141
 -3.88722622 -1.0642582  -0.02180654 -0.03862799  0.03903014  0.09459925]",1 days 00:15:55.165714000,3997.8701311036784
8,"[ 2.11306130e+00  5.11897855e-01  9.00479265e-01  3.25485358e-01
 -5.97532367e+00 -1.18818335e+00 -1.52863775e+00 -1.19836910e+00
  2.28116942e-03  2.73210820e-02  7.84386004e-02 -3.16788181e-02]",1 days 03:01:01.832038000,3833.765152475682
9,"[ 5.3717523   1.37243554  3.21930612  0.99379299 -3.32217815 -1.29667359
 -1.31067469 -2.75810656  0.04404409 -0.00579962 -0.06280825  0.01551425]",1 days 16:47:28.692917000,3697.545160776217
10,"[ 2.25079841e+00  7.98647435e-01  3.14273689e+00  8.45087201e-01
 -2.04727343e+00 -5.98202228e+00 -1.63864358e+00 -1.28866894e+00
 -8.19901799e-03 -6.97505075e-04  5.70000103e-02  1.55794192e-01]",1 days 08:59:22.989786000,3916.3645437720616
11,"[ 3.70437721  1.64197926  3.79323344  0.80451026 -1.37225469 -2.02372718
 -4.56011984 -0.92304704  0.10552639 -0.01124733  0.17655997  0.05798556]",1 days 00:39:25.810291000,3934.2298942391876
12,"[ 3.74158133e+00  1.05527815e+00  3.29735743e+00  6.55662188e-01
 -2.46386166e+00 -1.48070602e+00 -1.28647246e+00 -3.85666155e+00
 -1.08759179e-03 -7.19352701e-02  5.01477236e-02  7.26323003e-02]",1 days 13:34:58.564695000,3712.576194962126
13,"[ 4.59028095e+00  9.16885966e-01  4.23217502e+00  1.55987675e+00
 -1.04036538e+01 -1.52271227e+00 -2.70493481e+00 -1.37067514e+00
 -2.82704174e-02 -4.48855788e-02  7.13399371e-04  1.38719233e-01]",1 days 13:26:25.042528000,3994.856368817564
14,"[ 4.15472769  0.75499516  2.05597963  1.7159145  -7.60639068 -1.10593212
 -1.62575319 -2.52786402  0.0399756   0.1253558  -0.02389291  0.08302717]",1 days 10:31:22.424745000,4097.183774827467
15,"[ 5.56709677  1.14024253  3.16858844  0.89831649 -6.50295375 -1.61911406
 -1.3830486  -2.80436667 -0.05531188 -0.01626509 -0.02264478 -0.04414423]",1 days 02:14:40.023419000,3695.0910293006714
