"","x"
"1",0.690764467070592
"2",0.262020384378784
"3",0.99
"4",0.898637212174569
"5",0.881042436013875
"6",0.922600149817598
"7",0.952336630134396
"8",0.854556503511311
"9",0.989652399413684
"10",0.622085507112966
"11",0.780263588198937
"12",0.660609590668631
"13",0.99
"14",0.619681061841289
"15",0.90079530109575
"16",0.942398901180477
"17",0.737859637867034
"18",0.99
"19",0.99
"20",0.99
"21",0.54463111800319
"22",0.827176371574158
"23",0.831902637428396
"24",0.980590667125414
"25",0.676730752969511
"26",0.99
"27",0.692513801478362
"28",0.99
"29",0.99
"30",0.99
"31",0.847082090826876
"32",0.963422487448389
"33",0.99
"34",0.227511343227323
"35",0.99
"36",0.850741209978173
"37",0.981306656400428
"38",0.99
"39",0.99
"40",0.99
"41",0.548970005283424
"42",0.716391689476022
"43",0.924588790600192
"44",0.99
"45",0.99
"46",0.989420551871264
"47",0.976144490948882
"48",0.176772685932676
"49",0.960669056270361
"50",0.983186000447557
"51",0.917444098953108
"52",0.99
"53",0.343076529297588
"54",0.865003615007145
"55",0.99
"56",0.99
"57",0.846461563706974
"58",0.911450127551955
"59",0.972256990861315
"60",0.714990428600829
"61",0.722319405763176
"62",0.232984873694921
"63",0.964147356026718
"64",0.01
"65",0.99
"66",0.99
"67",0.99
"68",0.217303761113293
"69",0.987369311339282
"70",0.586055120593013
"71",0.99
"72",0.698483659323839
"73",0.798599840850797
"74",0.986951835412943
"75",0.99
"76",0.99
"77",0.94852577140536
"78",0.99
"79",0.99
"80",0.975362597714289
"81",0.934464116534238
"82",0.961779771051122
"83",0.977870589140106
"84",0.99
"85",0.976948772212287
"86",0.987032115718429
"87",0.973200304355544
"88",0.972879829782949
"89",0.99
"90",0.980505083535083
"91",0.949833404276345
"92",0.976832951564543
"93",0.975278916587142
"94",0.974117071093535
"95",0.99
"96",0.980054022659543
"97",0.761202151740915
"98",0.99
"99",0.958755992970678
"100",0.99
"101",0.99
"102",0.974276411972006
"103",0.989935529580106
"104",0.975270344405458
"105",0.975627856879438
"106",0.96958225975394
"107",0.877649106906857
"108",0.968639859708652
"109",0.99
"110",0.928738287495676
"111",0.977083247112442
"112",0.793790883195841
"113",0.99
"114",0.983765529948631
"115",0.796019062440578
"116",0.980772151075425
"117",0.977149534856668
"118",0.99
"119",0.981998323144206
"120",0.99
"121",0.955437913936048
"122",0.914013546389497
"123",0.989649630796707
"124",0.99
"125",0.821659525688051
"126",0.965030759971521
"127",0.99
"128",0.603948297351278
"129",0.916116462505556
"130",0.99
"131",0.971043534290173
"132",0.572310174197897
"133",0.977460180296759
"134",0.283589971082468
"135",0.954656543651947
"136",0.97648399915237
"137",0.99
"138",0.957253975579229
"139",0.819866137529207
"140",0.973495020503096
"141",0.961680821127779
"142",0.986082875436834
"143",0.99
"144",0.99
"145",0.965875016266942
"146",0.811792722182058
"147",0.975733230871496
"148",0.921756605560801
"149",0.869811123454394
"150",0.99
"151",0.885367517835627
"152",0.0932703545514134
"153",0.966795861130647
"154",0.962166453399078
"155",0.212233375644352
"156",0.99
"157",0.99
"158",0.925425429882685
"159",0.979870572534746
"160",0.824799807599422
"161",0.925891847030695
"162",0.965126839824328
"163",0.99
"164",0.972723595793442
"165",0.99
"166",0.99
"167",0.979126366527256
"168",0.99
"169",0.795398305892915
"170",0.952357166359644
"171",0.747949168694499
"172",0.782889783418587
"173",0.933403744828458
"174",0.976313292416072
"175",0.636714584494421
"176",0.92983852525763
"177",0.989441219160467
"178",0.97316554281521
"179",0.913635301432763
"180",0.915509700725262
"181",0.97929513853623
"182",0.99
"183",0.99
"184",0.841301318623202
"185",0.967106506760335
"186",0.901338831957799
"187",0.99
"188",0.99
"189",0.99
"190",0.980328922031474
"191",0.878792013155137
"192",0.99
"193",0.99
"194",0.961196299282614
"195",0.99
"196",0.240181587515824
"197",0.958448771857535
"198",0.99
"199",0.99
"200",0.99
"201",0.982535473892753
"202",0.915165910712792
"203",0.99
"204",0.99
"205",0.770541603076226
"206",0.99
"207",0.969232233121598
"208",0.976661020665002
"209",0.96923156800411
"210",0.979083610180062
"211",0.978614019527613
"212",0.944240255068786
"213",0.978942483116276
"214",0.908045144853229
"215",0.988720122780222
"216",0.97347445039463
"217",0.862660878419642
"218",0.910978613234764
"219",0.403490300144137
"220",0.971891992338444
"221",0.850640164998999
"222",0.933188136668896
"223",0.979642375236034
"224",0.790517405061172
"225",0.486118890498268
"226",0.99
"227",0.982125318228707
"228",0.950569668304536
"229",0.99
"230",0.99
"231",0.954113813557538
"232",0.793213686388816
"233",0.980366274400576
"234",0.99
"235",0.988311223513376
"236",0.807430501012491
"237",0.953441343834193
"238",0.984580918947528
"239",0.978797609678533
"240",0.531525196376773
"241",0.977243733232773
"242",0.99
"243",0.810610375481691
"244",0.99
"245",0.602910841725766
"246",0.915195653781008
"247",0.97925969675451
"248",0.987614537934903
"249",0.99
"250",0.99
"251",0.99
"252",0.494193914612982
"253",0.968301306771332
"254",0.92052742488074
"255",0.958077838309165
"256",0.984061398648113
"257",0.99
"258",0.989382207359261
"259",0.304838456528766
"260",0.952125755192687
"261",0.99
"262",0.980095509343281
"263",0.99
"264",0.99
"265",0.987107445405484
"266",0.772360748543249
"267",0.965112076652067
"268",0.662478693835288
"269",0.979701122698806
"270",0.944805332178528
"271",0.981873832505617
"272",0.944165253334757
"273",0.99
"274",0.966673438208404
"275",0.686991058434703
"276",0.99
"277",0.8652238774621
"278",0.99
"279",0.99
"280",0.641182799962008
"281",0.958876624942307
"282",0.99
"283",0.989575031010769
"284",0.99
"285",0.99
"286",0.99
"287",0.99
"288",0.99
"289",0.99
"290",0.99
"291",0.99
"292",0.94589656761917
"293",0.647606374819216
"294",0.986527081020604
"295",0.99
"296",0.99
"297",0.940274029363711
"298",0.988336372544304
"299",0.99
"300",0.376774597106766
"301",0.99
"302",0.980147500852031
"303",0.613687834025889
"304",0.663103987825482
"305",0.975650230500821
"306",0.802215778186891
"307",0.99
"308",0.99
"309",0.766903753747536
"310",0.99
"311",0.984010015979707
"312",0.883945420794856
"313",0.99
"314",0.945547399949174
"315",0.973099303147067
"316",0.975126804077414
"317",0.99
"318",0.985394967374573
"319",0.784778115743038
"320",0.98751553888627
"321",0.741573022138273
"322",0.950429056187901
"323",0.979158296731469
"324",0.99
"325",0.99
"326",0.99
"327",0.945871395201358
"328",0.976317571322054
"329",0.94879215360989
"330",0.99
"331",0.984101907606105
"332",0.99
"333",0.941736999838231
"334",0.0552724496933912
"335",0.99
"336",0.627550730114691
"337",0.976945364294791
"338",0.859075245205683
"339",0.675048087787587
"340",0.980979108116526
"341",0.96780008704935
"342",0.984863780567118
"343",0.83984343036008
"344",0.77037299155027
"345",0.973069954337238
"346",0.88999425536842
"347",0.98178668189035
"348",0.798813399996693
"349",0.976825657166475
"350",0.976133707225408
"351",0.99
"352",0.96559574270924
"353",0.371880834122039
"354",0.99
"355",0.974161296624263
"356",0.99
"357",0.99
"358",0.971660605714622
"359",0.965726192113102
"360",0.572780930961487
"361",0.99
"362",0.99
"363",0.659857602231528
"364",0.984772032488379
"365",0.99
"366",0.984498811142714
"367",0.988476449235938
"368",0.850965720768478
"369",0.986283977332264
"370",0.903989289725412
"371",0.86902766261834
"372",0.968258871946885
"373",0.99
"374",0.762214481120136
"375",0.957578248878682
"376",0.982238505105596
"377",0.981252710783411
"378",0.99
"379",0.370891538775897
"380",0.986791496851511
"381",0.701864024627384
"382",0.976370515720985
"383",0.99
"384",0.930408060239405
"385",0.355037207775122
"386",0.99
"387",0.398892541029475
"388",0.99
"389",0.443957103480459
"390",0.979275664067948
"391",0.920940092834476
"392",0.954759841838081
"393",0.982395221204653
"394",0.970681652101459
"395",0.959277394678475
"396",0.715034631452033
"397",0.975050039304083
"398",0.99
"399",0.973735660043693
"400",0.846532766001522
"401",0.965984433627063
"402",0.981703394164175
"403",0.921997954695314
"404",0.957567501333812
"405",0.99
"406",0.99
"407",0.975153124966097
"408",0.7014235009829
"409",0.980326249663239
"410",0.95118694050722
"411",0.659116278407941
"412",0.99
"413",0.989836292996687
"414",0.99
"415",0.96088992859095
"416",0.944679615102787
"417",0.982260399174011
"418",0.948026643538447
"419",0.848481102238161
"420",0.936087135367963
"421",0.99
"422",0.798799673218834
"423",0.720406092703847
"424",0.99
"425",0.980622476752846
"426",0.99
"427",0.99
"428",0.976437553348287
"429",0.979766592630912
"430",0.974016034602083
"431",0.99
"432",0.978763087102996
"433",0.83133241622393
"434",0.981960332092471
"435",0.99
"436",0.99
"437",0.99
"438",0.99
"439",0.278473277822167
"440",0.98486724001864
"441",0.988780109341845
"442",0.795718877848705
"443",0.99
"444",0.973730132582834
"445",0.988936494504046
"446",0.978243403206619
"447",0.93852389514442
"448",0.933113986833581
"449",0.99
"450",0.99
