"","AAPL","TGT","GOOGL","GOOG","NVDA","BBY","JNJ","WMT","V","UNP","HD","KMX","MA","BAX","BAC","RTX","PFE","UAL","CRM","ALGN","CSCO","GM","INTC","CHTR","ABT","LLY","WFC","WMB","T","TRV","DHR","COST","MS","GE","INTU","SYK","AMGN","GRMN","AMT","XLNX","BLK","MDLZ","ANTM","COO","CCI","CNP","TJX","LUMN","PNC","ALB","COP","CZR","EW","SO","FDX","CAG","FISV","CF","BSX","MGM","ADI","MPWR","NXPI","XEL","NOC","AEP","GPN","BR","MSCI","CPRT","EXC","SBAC","INFO","NOV","SPG","RSG","APH","HBAN","MSI","VRSK","PH","NCLH","SYY","NTAP","WELL","HOLX","PXD","BKR","STT","TYL","WEC","AJG","EQR","EVRG","LEN","AMCR","CDW","MAA","ETSY","FE","AEE","OXY","TSN","CMS","CRL","DRI","CFG","GL","NVR","TFX","CAH","CTXS","PHM","NWL","SJM","TAP","L","DXC","NRG","GPS","AOS","PNW","BIIB","KMI","CL","CPB","IT","J","HPE","HII","WY","PVH","BLL","LVS","CE","DVN","FITB","O","LNC","DISH","ROK","RCL","MCD","CTSH","MU","AKAM","MTD","GIS","KR","GPC","NWSA","IPGP","GLW","TRMB","MTB","PRGO","HON","HAS","AAP","FRT","CAT","MKTX","DE","NDAQ","CVX","OKE","ETN","DFS","WRK","MHK","FAST","PKI","LMT","ALL","TSCO","DISCA","PEAK","IR","WBA","CBRE","QCOM","LOW","TFC","STZ","SLB","VLO","DD","EFX","GILD","JCI","LYV","NWS","HES","BIO","REGN","PAYX","CVS","VIAC","PGR","LH"
"2018-01-02",41.248272,61.745342,1073.209961,1065,49.395557,63.034023,126.761429,92.094955,111.998543,126.156364,172.878128,64.760002,148.906738,64.610794,27.702541,74.089836,30.019215,68.940002,104.410004,224.619995,34.681511,38.072212,42.701164,348.970001,55.27018,78.516113,54.330692,24.863672,30.398796,121.329178,90.877937,177.262619,47.372238,133.083221,154.274948,151.780838,160.060394,54.199493,131.830887,64.657593,464.812775,39.286922,216.493622,220.446655,96.65052,24.635427,36.699322,12.558264,128.673965,124.382736,49.867218,31.65,37.193333,40.187416,245.973465,33.761612,65.175003,38.830002,25.280001,32.119156,84.230858,112.581871,113.714806,43.2533,288.292572,64.341667,98.772087,85.692505,123.193062,43.599998,35.09668,158.456894,44.87812,36.123043,142.730728,62.308006,42.416199,12.504946,85.506561,94.246765,187.996887,54.959999,55.072945,49.900131,54.284443,42.869999,165.730621,28.803581,87.565125,178.690002,59.234039,58.144699,56.290581,47.281963,63.318134,10.054257,67.001236,87.725784,20.83,26.416451,53.072632,64.243256,74.585678,42.242794,110.650002,88.656021,36.824635,87.477043,3529.610107,250.869827,55.418217,85.72287,31.893524,26.765499,111.389748,76.489159,48.958534,78.34993,27.027035,30.762068,57.632442,73.224533,334.170013,15.250074,68.727707,41.996819,124.849998,64.821251,13.01521,213.917862,31.306919,138.439804,37.519848,61.541336,98.435257,37.963772,26.753998,48.432327,69.932892,50.200001,184.056488,113.678848,159.082077,67.955933,43.669998,65.559998,626.099976,51.301113,26.296549,86.714355,15.64435,222.339996,29.708885,41.060001,155.387344,84.860573,137.059464,82.745735,104.264641,117.337074,142.819702,198.669632,148.952164,72.163963,108.825432,41.680286,72.43322,70.926086,57.42086,276,24.562111,73.107925,290.951721,94.624115,72.183693,23.110001,21.565531,33.709999,66.738945,43.82,58.395512,85.75692,44.139385,215.096664,60.986507,77.568192,94.760658,114.920525,65.036705,34.862007,42.650002,16.008915,44.896355,241.419998,382.600006,59.952175,65.70343,54.946838,47.749058,162.300003
"2018-01-03",41.241089,61.325367,1091.52002,1082.47998,52.646469,62.341339,127.972343,92.898293,113.113533,126.862457,173.77916,66.940002,150.778992,65.649643,27.609888,75.176682,30.241644,68.489998,105.290001,231.199997,34.958183,39.001244,41.251968,353.029999,55.392387,78.942642,54.748684,25.550341,29.696796,121.715317,92.087135,179.389923,47.499313,134.341507,154.702606,152.636368,163.080734,54.864017,132.344604,65.953041,469.716827,39.444405,219.511124,226.561859,96.242355,24.582674,36.038937,12.320226,128.647278,124.628624,50.786686,31.299999,38.196667,39.95739,249.048172,33.590649,65.705002,38.839001,25.559999,31.94663,85.275818,114.701675,113.840157,42.963799,289.624298,63.799629,100.905067,85.616989,125.064888,43.389999,34.626839,160.439697,44.543133,37.153721,142.068466,62.60746,42.966927,12.607727,84.902214,93.97139,189.529968,55.369999,55.191288,51.247089,54.377701,43.490002,169.008438,29.965378,88.207909,180.190002,59.026909,58.58427,56.583069,46.552364,65.652046,10.054257,68.960564,87.628891,20.41,26.039318,52.799946,65.128998,73.743774,41.981876,110.309998,90.699394,37.24741,87.729179,3562.830078,252.7509,55.093937,86.650742,32.753708,26.926229,111.101616,75.75441,49.527699,79.833664,27.008335,30.126303,57.979,72.552437,339.850006,15.379865,68.462463,41.403072,125.190002,65.044189,13.095386,215.212585,31.58185,138.678894,37.422722,60.846653,98.822502,38.404274,26.83313,48.30402,69.609772,49.360001,186.747574,116.700714,158.411682,68.530617,44.98,65.940002,631.539978,51.031746,25.878407,87.360817,15.701482,233.240005,30.437496,42.189999,157.130112,84.624023,135.927048,82.03582,105.20813,116.898453,143.037964,196.045181,149.630875,73.029129,109.618706,42.359062,74.986664,71.451721,58.033134,275.140015,24.571117,75.333504,293.390564,94.67984,72.727356,22.620001,21.557213,33.91,67.23761,44.189999,59.058289,86.13131,44.616859,215.98912,62.574345,77.977768,96.276306,115.516579,65.528221,35.527702,42.509998,16.104206,46.350681,250.470001,393.779999,60.816139,65.417442,54.974705,47.723183,163.050003
"2018-01-04",41.432659,60.12022,1095.76001,1086.400024,52.923981,61.320557,127.963219,92.982368,113.534111,126.174934,175.158295,68.25,152.729645,65.803551,27.971222,75.413696,30.307541,69.260002,106.68,233.300003,35.057083,40.203526,40.495476,349.790009,55.298374,79.294975,55.433491,25.989487,29.97286,121.715317,92.529533,177.996857,48.225456,137.15419,157.472794,152.588287,162.393478,54.864017,130.410995,67.143723,475.917755,39.537041,220.52655,223.37439,95.124413,24.609047,36.096367,12.240879,128.656158,123.143921,51.372623,32,38.470001,39.786999,252.924896,34.139545,66.629997,39.244049,25.32,32.262936,85.182518,115.766418,113.637688,42.629055,291.418823,63.044357,102.829727,86.296486,127.033195,43.740002,34.139252,159.561752,45.006195,37.723061,137.912888,64.048668,42.817173,12.719069,85.610451,94.443459,190.395294,54.68,55.713245,52.094154,53.207741,43.77,169.899796,30.948435,89.158524,183.949997,58.819756,59.12672,55.608112,46.356617,65.378609,10.054257,70.170731,85.065834,20.23,25.987896,52.200054,65.094269,74.215607,41.514008,109.470001,90.680962,37.687443,88.098274,3520.51001,250.160736,55.79509,87.665627,32.333172,27.120796,111.99295,76.265945,49.773037,81.754288,26.69972,29.735762,58.250633,72.020004,339.98999,15.420424,68.901505,41.74868,127.300003,65.713051,13.416091,218.280487,31.324659,140.880417,37.247894,60.695251,98.877831,38.862751,26.92984,47.260441,70.848457,49.380001,185.918808,115.643074,159.522919,69.612938,46.880001,65.599998,627.030029,51.622612,25.069998,87.459587,15.7967,236.809998,30.747147,42.849998,157.429642,86.175743,137.763855,81.51461,109.090164,112.766426,145.002396,201.508759,150.488754,73.997688,109.277519,42.862427,74.187553,72.161819,59.488411,275.26001,24.670195,75.531334,298.423218,93.58429,74.034058,22.129999,21.024519,34.07,63.755974,44.049999,59.138885,86.805229,45.156227,214.365616,64.127075,78.228516,98.121437,116.939377,64.861191,36.339291,42.27,16.132793,47.467228,248.490005,382.950012,61.386173,67.142265,53.860355,47.71455,162.460007
"2018-01-05",41.904385,60.759323,1110.290039,1102.22998,53.372471,62.769722,129.019348,93.533501,116.253151,127.782303,176.987915,71.040001,155.895767,66.54422,28.100937,76.061165,30.365211,69.360001,108.099998,241.070007,35.54261,40.085114,40.778019,350.880005,55.458187,80.268539,55.807026,25.917627,30.083284,121.494652,93.109566,176.726089,48.207298,137.228165,159.513962,154.818405,163.361069,54.381557,131.251709,70.629974,479.972626,40.046532,224.482803,230.318893,95.85199,24.50355,36.919456,12.262519,128.816284,124.562431,51.273472,31.799999,38.619999,39.855148,253.91803,34.247528,67.290001,39.307049,25.969999,32.483383,85.527702,116.221359,113.811241,42.330505,291.107147,62.91106,102.740433,87.3535,128.355026,43.529999,33.855572,160.666611,45.272213,37.516926,139.195969,63.880203,43.338913,12.830415,86.762482,95.279419,191.693253,54.869999,56.271854,53.031326,52.877102,43.98,169.171371,30.778629,89.239998,184.389999,58.423481,59.397938,55.563793,45.965115,65.99382,10.054257,70.055473,84.68708,20.25,25.807896,52.163696,64.73822,74.779945,41.217098,111.879997,91.408112,37.860008,88.447945,3567,253.824371,55.409451,88.419533,33.011749,27.05312,113.037354,77.130905,49.674904,82.949524,26.868057,29.563194,58.999962,71.941437,342.48999,15.371753,68.983826,41.908203,129.339996,66.052338,13.40718,219.303131,31.280317,142.544052,37.481003,60.490402,99.809082,38.754871,27.000174,47.226223,70.992073,49.220001,186.20752,114.481544,159.844376,70.206764,45.799999,65.830002,637.349976,52.065758,25.385927,87.540367,15.996657,242.339996,30.637863,43,156.866867,86.270332,138.726883,83.042274,110.249847,112.608521,147.294189,202.181946,151.129745,74.486702,109.098396,42.755657,74.757027,72.078812,59.727978,276.670013,24.71973,76.105034,301.126862,94.57769,75.769974,22,20.816444,34.549999,64.931328,44.27,59.53297,88.677254,45.297695,208.754669,64.565704,78.596306,99.399857,118.083389,65.405342,35.035271,43.32,16.390078,48.940315,249.050003,385.100006,61.199142,70.109261,53.470322,47.895683,166.479996
"2018-01-08",41.748737,61.334496,1114.209961,1106.939941,55.007843,63.517078,129.183212,94.916016,116.72261,129.556931,176.565002,70.050003,156.36702,66.640396,27.90637,76.783791,30.027447,68.510002,108.860001,248.899994,35.911259,40.27639,40.778019,356.549988,55.298374,79.860573,55.175571,26.013445,30.170055,120.841957,93.64045,177.413223,48.007607,135.303741,159.611191,156.933121,163.315872,54.927734,132.652847,71.096703,483.55249,39.842739,222.068848,231.467972,96.135902,24.653011,36.201649,12.428424,129.056488,129.981033,51.796291,31.700001,39.380001,40.212982,256.534302,33.761612,67.425003,38.451977,25.809999,31.726181,85.676994,117.663589,114.032967,42.647152,291.144897,63.461987,103.35553,87.891426,128.528732,43.549999,34.219032,160.68634,45.991451,37.997906,140.106567,63.796001,43.802696,12.804721,87.650139,95.397423,193.329803,54.66,56.3909,53.752228,53.063614,44.419998,171.107407,30.84119,90.217781,185.190002,58.927841,59.435345,55.93605,46.018501,65.652046,10.054257,70.161125,84.977753,20.32,26.04789,52.781769,65.293991,75.594086,41.693954,111.889999,90.92028,38.015308,88.710205,3624.800049,254.759995,57.162365,87.926575,32.91618,27.137714,114.063736,77.958679,49.635654,82.883591,27.279541,29.336136,59.280956,72.491348,329.649994,15.298747,69.084427,42.209518,130.309998,65.877846,13.202288,221.451599,31.484301,142.195404,37.510139,60.561657,100.251648,38.880733,26.991381,47.286106,70.857445,48.900002,188.107101,114.349327,159.734146,70.273811,45.549999,65.879997,633.179993,52.23954,25.989908,87.971359,16.025223,258.839996,30.756258,43.009998,156.503815,85.276871,137.977829,83.72522,109.47345,113.968315,150.995636,202.357544,151.874481,75.191963,109.635796,43.198009,75.344864,71.534714,60.1273,279.149994,24.98094,75.936874,299.738556,94.132072,75.588745,22.370001,20.83309,34.91,65.759468,44.84,59.353836,87.713165,45.53643,205.868469,65.618408,78.755119,99.057182,117.275856,65.300026,35.509457,43.049999,16.390078,49.24995,251,372.519989,60.816139,69.501572,52.708847,48.042313,165.940002
"2018-01-09",41.74395,63.123962,1112.790039,1106.26001,54.992977,63.599113,131.23175,93.776375,116.497658,131.006363,177.539612,69.800003,156.592819,66.736595,28.045345,77.622055,29.994497,68.480003,109.150002,251.440002,35.68647,40.121544,39.757195,354.76001,55.392387,79.795662,55.371231,26.133205,29.962263,121.779655,96.943657,175.351807,48.379761,137.376236,160.614731,154.54924,165.829803,54.481689,131.756165,71.287216,487.616394,39.824219,224.789383,234.065964,95.541435,24.40683,36.129864,11.930709,131.521103,128.080261,52.219963,32.049999,39.836666,39.710327,255.665329,33.644638,68.144997,38.226944,27.959999,32.234188,85.499733,117.460327,114.196846,42.149574,293.156616,62.715576,103.980553,88.06131,129.387466,43.48,33.828972,161.337402,46.109676,37.536556,137.027161,63.618176,43.870319,13.044542,86.989136,95.131889,194.994598,54.939999,56.207745,53.770245,52.029305,44.220001,170.551529,31.305912,91.802132,186.860001,58.459515,59.51017,55.262447,46.490078,65.105186,10.054257,69.978638,83.682991,20.9,25.765039,52.100063,65.03347,76.102913,41.127121,110.470001,90.308899,38.127483,89.42897,3625,258.167572,58.810097,88.139221,33.116886,26.9939,114.15377,77.781967,50.175385,83.773834,26.8587,29.054579,59.234131,71.592278,336.359985,15.363644,69.185028,42.227364,128.949997,65.635513,13.229012,224.416275,31.271446,140.621445,37.393585,61.915386,100.021141,38.242455,27.474939,46.405037,73.624672,48.57,188.796188,116.294662,159.375992,70.360001,42.970001,67.489998,649.98999,51.967964,25.804071,88.842262,16.07283,256.200012,30.646971,42.860001,158.763931,85.948639,139.110275,84.417175,108.588913,110.046852,151.35939,199.576996,156.107101,75.389465,109.047203,43.083614,75.298958,72.152603,59.807858,279.790009,24.931395,77.054619,301.88501,93.714264,75.81768,21.65,20.391956,35.09,65.376564,45.150002,58.458206,88.499428,46.058113,210.843369,65.706123,78.654816,99.294418,117.525803,68.547455,35.336201,43.720001,16.437723,49.221798,256.119995,368.649994,60.40641,69.430077,51.993813,48.447689,170.539993
"2018-01-10",41.73436,64.575607,1110.140015,1102.609985,55.424122,64.109505,131.076965,93.103813,116.370522,129.798508,176.34436,70.300003,156.946259,65.822777,28.304768,77.986275,30.043926,73.080002,108.800003,248.309998,35.884281,39.165192,38.736382,350.829987,55.307781,79.832756,56.136078,26.149174,29.266945,121.448708,96.57991,174.532883,48.951607,140.114868,159.309158,153.357239,165.359573,55.046074,128.54277,70.582352,485.452026,39.490726,224.051758,230.808533,93.092552,23.967228,36.498344,12.608757,133.12262,125.735069,51.967567,32.25,39.5,39.156544,255.913651,33.140732,68.504997,38.181942,27.52,32.512131,84.07225,116.172966,114.871719,41.733418,290.531036,61.755932,102.750366,87.749893,129.049728,43.52,33.642815,158.713379,46.277172,37.232258,136.571808,63.197052,43.242298,13.258667,87.234634,94.748337,194.326797,55.599998,56.180275,54.653355,51.469761,43.560001,171.270325,31.699129,94.382378,186.110001,57.342735,59.454052,54.473614,45.377869,66.65786,10.054257,69.479202,82.714157,20.26,25.559328,51.336563,64.477722,74.937225,40.470314,109.849998,89.660454,38.740067,90.099182,3515.850098,254.011505,59.651489,87.781601,32.180241,26.350988,111.785889,79.251472,50.253887,83.444115,26.409811,29.090912,59.393356,70.326622,336.720001,15.314968,68.43502,40.906078,128.160004,65.732445,13.531898,222.66185,30.890091,140.402283,36.762272,62.378513,99.735306,37.918823,27.765078,45.387135,74.625214,48.41,188.218842,116.209656,159.348434,70.848488,43.310001,66.330002,646.190002,51.363487,26.008493,89.246292,16.04427,254.529999,30.355534,42.68,160.434082,85.229576,140.073303,82.952408,108.687195,108.643173,150.850128,201.352661,155.484924,76.386246,109.746674,43.274277,75.749023,73.286888,59.816734,272.089996,24.503565,76.302864,302.378204,93.240776,74.902016,22.83,20.275431,34.450001,65.964279,44.27,58.449249,88.14373,46.606316,208.260986,66.320198,78.696609,97.791946,116.497147,69.082863,35.618893,43.59,16.342432,49.72847,249.800003,366.459991,60.157036,69.206665,52.615986,48.025055,170.470001
"2018-01-11",41.97142,67.561081,1112.050049,1105.52002,55.523235,65.358162,131.823532,93.430733,117.211647,130.40242,178.992279,71.910004,157.986938,65.851631,28.406683,78.038292,30.118059,76.449997,109.099998,252.910004,36.055115,40.249065,39.5658,355.269989,55.685627,80.101639,56.03825,26.428633,29.155058,121.660149,96.924004,178.260406,49.196686,140.780991,158.812241,152.45372,164.545715,55.910866,126.076759,70.810936,491.251068,39.379562,225.115082,228.460373,92.001228,24.116693,36.790241,12.601543,134.786453,127.37104,53.34676,32.549999,39.996666,38.551643,258.950043,33.07774,68.915001,39.352058,27.43,33.652748,85.079887,117.818466,114.968155,41.181549,292.363281,61.07172,103.176956,88.193428,130.024261,44.5,34.050602,155.369247,46.759945,38.125515,136.447662,63.880203,43.860668,13.387143,88.339478,95.072891,195.963348,56.16,56.061226,55.698662,51.011948,43.549999,176.512894,32.619633,95.76757,187.889999,57.261681,59.295063,54.030453,45.084251,67.937111,10.054257,69.853775,81.898445,20.559999,25.919323,51.036613,65.841087,73.975067,39.939468,108.059998,90.410797,39.085201,90.196312,3550.889893,256.70993,60.57177,86.805374,32.992638,26.9939,110.876541,78.581825,50.54829,83.328712,26.755829,30.144466,60.648472,69.759277,333.070007,15.574549,68.188057,40.84359,129.610001,67.370674,13.763518,224.481949,31.031994,142.036026,37.277039,62.903976,102.593582,38.718918,28.011253,45.575321,75.625748,49.25,191.952866,118.428856,159.238235,70.886803,42.82,65.209999,639.26001,50.890408,26.092123,91.490921,16.263268,258.329987,30.747147,42.990002,161.559616,87.03672,140.8134,83.042274,111.006607,108.0905,153.878601,196.611053,157.860489,75.662148,113.081886,44.509811,77.145134,74.107643,60.57098,271.720001,24.809799,76.777664,302.451263,93.565727,74.863861,24.01,20.11729,34.889999,67.121849,45.119999,58.601509,89.613266,47.004211,207.966675,67.592232,79.030968,99.136253,116.795181,69.390045,36.074841,43.759998,16.675951,51.342297,251.210007,368.26001,59.551361,70.618675,53.656055,48.007809,170.279999
"2018-01-12",42.404835,70.117447,1130.650024,1122.26001,55.250671,66.761765,132.706635,94.224754,117.456154,131.164291,180.592056,72.330002,159.371246,65.736206,28.897736,78.957474,30.101589,78.400002,110.239998,258.429993,36.74744,40.139767,39.410858,354,55.581711,80.648712,55.629143,26.516462,29.490726,123.857277,97.710487,180.575943,50.031761,138.856567,160.283463,152.098053,167.330963,56.402428,124.236534,71.115761,507.333252,39.342506,229.732315,230.658646,91.894753,24.06394,37.460201,12.522198,135.09787,126.264618,54.131004,32.349998,40.276669,38.202332,259.580292,33.032753,68.610001,39.172043,27.459999,33.576077,85.854256,118.950966,115.286301,40.846817,297.652344,59.943233,102.442818,88.750252,131.114548,44.849998,34.032871,153.830338,47.144188,38.420002,137.010559,63.992508,44.363091,13.575574,91.191269,95.889175,197.552856,57.849998,56.207745,56.563744,50.15567,43.709999,178.410568,33.24522,97.089363,187.949997,57.306717,59.743988,53.55183,44.74614,67.634399,10.054257,69.997864,81.231293,19.540001,25.773611,50.463989,66.457619,73.919571,39.597561,105.339996,90.799858,39.275009,89.603806,3558.22998,259.191711,62.657734,87.027695,32.954411,27.289982,111.128624,78.944565,51.794579,83.493584,26.839998,30.762068,61.182373,69.148262,335.950012,15.834121,68.252075,40.629326,130.130005,67.428833,14.084223,232.137634,31.271446,143.082016,36.810829,63.251308,102.658127,39.590927,28.442059,45.096294,76.049408,49.48,193.610352,120.43084,159.403534,71.413605,42.810001,65.519997,650.599976,50.680153,26.147877,92.72995,16.329922,258.269989,31.566828,43.389999,162.04071,86.856956,141.838821,83.078209,113.945152,107.739578,154.879013,198.757492,159.594986,76.57431,113.960503,44.746243,77.374763,74.245964,61.405102,274.070007,25.034981,78.033875,307.127869,94.800514,75.932121,24.33,19.676155,34.560001,67.736252,44.889999,58.556721,94.405602,46.98653,206.514069,68.3993,80.86985,99.386673,118.102615,69.354935,36.293697,44.43,16.7236,51.173409,248.369995,366.959991,60.263912,70.40419,54.631115,48.249313,171.639999
"2018-01-16",42.189331,68.437531,1130.699951,1121.76001,54.539528,65.987038,133.708145,94.056618,117.749565,130.365234,180.490906,71.330002,159.33194,65.091736,28.944054,77.448631,30.15102,77.489998,108.889999,263.880005,36.450737,40.249065,39.319706,352.929993,55.203865,79.081718,55.584679,26.021425,29.346865,124.583527,97.789131,180.284149,49.55975,134.785583,158.120499,153.289993,167.783096,55.938175,126.693237,70.268005,514.15509,39.824219,231.581131,230.77858,93.447472,24.195818,36.65147,12.507769,136.144028,121.044571,53.040272,32.099998,40.023335,38.048985,257.412811,33.086742,68.754997,36.64278,26.98,34.534561,86.861908,116.056801,115.112755,40.973476,295.187256,59.978764,103.772209,88.778572,129.609329,44.32,34.103794,157.687439,47.282124,37.762329,136.62146,63.721115,44.097385,13.42997,90.520813,95.594124,197.430603,57.389999,56.5191,56.113182,50.240448,43.75,174.921906,32.423019,95.939568,189.630005,56.874413,59.313766,53.773422,45.235512,67.165665,10.054257,69.296715,82.014076,19.35,25.645044,50.409451,65.363464,72.781631,39.822495,105.760002,89.614159,39.042057,88.79763,3541,258.945587,63.613071,86.950378,32.266262,26.858553,111.650826,78.795746,51.215588,83.303978,26.091846,29.708513,60.948212,68.834045,338.850006,15.728672,68.983826,41.459587,130.039993,67.293114,14.084223,220.616577,30.828005,140.860504,37.286755,64.720818,101.118347,38.889706,28.380514,45.2845,74.37281,47.990002,190.909943,119.694252,159.504562,71.576431,42.919998,64.5,649.419983,51.188274,26.250086,92.298981,16.158529,260.290009,31.339149,43.119999,161.368988,85.967552,140.786667,82.125687,111.940254,107.072853,153.978622,201.43071,157.935852,75.624535,112.604225,44.84539,76.557304,72.798134,60.952557,274.48999,24.967422,77.677773,301.519623,94.819061,75.522003,24.530001,19.742744,35.099998,67.700645,44.650002,61.127197,94.508583,46.933472,206.741928,67.697487,80.368355,98.780411,117.439285,70.434509,36.631104,43.66,16.485371,50.235134,249.110001,370.209991,60.798317,70.994019,55.188286,48.533951,171
