"","GOOGL","GOOG","V","UNP","MA","BAX","BAC","RTX","PFE","UAL","CRM","ALGN","ABT","LLY","T","TRV","INTU","SYK","BLK","MDLZ","CCI","CNP","TJX","LUMN","PNC","ALB","EW","SO","FDX","CAG","FISV","CF","BSX","MGM","NOC","AEP","GPN","BR","MSCI","CPRT","EXC","SBAC","SPG","RSG","APH","HBAN","SYY","NTAP","WELL","HOLX","LEN","AMCR","CDW","MAA","AEE","OXY","TSN","CMS","CFG","GL","CAH","CTXS","PHM","NWL","L","DXC","NRG","GPS","CL","CPB","WY","PVH","CE","DVN","LNC","DISH","ROK","RCL","MTD","GIS","NWSA","IPGP","MTB","PRGO","CVX","OKE","ETN","DFS","WRK","MHK","TSCO","DISCA","HES","BIO","REGN","PAYX","CVS","VIAC","PGR","LH"
"2018-01-02",1073.209961,1065,111.998543,126.156364,148.906738,64.610794,27.702541,74.089836,30.019215,68.940002,104.410004,224.619995,55.27018,78.516113,30.398796,121.329178,154.274948,151.780838,464.812775,39.286922,96.65052,24.635427,36.699322,12.558264,128.673965,124.382736,37.193333,40.187416,245.973465,33.761612,65.175003,38.830002,25.280001,32.119156,288.292572,64.341667,98.772087,85.692505,123.193062,43.599998,35.09668,158.456894,142.730728,62.308006,42.416199,12.504946,55.072945,49.900131,54.284443,42.869999,63.318134,10.054257,67.001236,87.725784,53.072632,64.243256,74.585678,42.242794,36.824635,87.477043,55.418217,85.72287,31.893524,26.765499,48.958534,78.34993,27.027035,30.762068,68.727707,41.996819,31.306919,138.439804,98.435257,37.963772,69.932892,50.200001,184.056488,113.678848,626.099976,51.301113,15.64435,222.339996,155.387344,84.860573,108.825432,41.680286,72.43322,70.926086,57.42086,276,72.183693,23.110001,44.896355,241.419998,382.600006,59.952175,65.70343,54.946838,47.749058,162.300003
"2018-01-03",1091.52002,1082.47998,113.113533,126.862457,150.778992,65.649643,27.609888,75.176682,30.241644,68.489998,105.290001,231.199997,55.392387,78.942642,29.696796,121.715317,154.702606,152.636368,469.716827,39.444405,96.242355,24.582674,36.038937,12.320226,128.647278,124.628624,38.196667,39.95739,249.048172,33.590649,65.705002,38.839001,25.559999,31.94663,289.624298,63.799629,100.905067,85.616989,125.064888,43.389999,34.626839,160.439697,142.068466,62.60746,42.966927,12.607727,55.191288,51.247089,54.377701,43.490002,65.652046,10.054257,68.960564,87.628891,52.799946,65.128998,73.743774,41.981876,37.24741,87.729179,55.093937,86.650742,32.753708,26.926229,49.527699,79.833664,27.008335,30.126303,68.462463,41.403072,31.58185,138.678894,98.822502,38.404274,69.609772,49.360001,186.747574,116.700714,631.539978,51.031746,15.701482,233.240005,157.130112,84.624023,109.618706,42.359062,74.986664,71.451721,58.033134,275.140015,72.727356,22.620001,46.350681,250.470001,393.779999,60.816139,65.417442,54.974705,47.723183,163.050003
"2018-01-04",1095.76001,1086.400024,113.534111,126.174934,152.729645,65.803551,27.971222,75.413696,30.307541,69.260002,106.68,233.300003,55.298374,79.294975,29.97286,121.715317,157.472794,152.588287,475.917755,39.537041,95.124413,24.609047,36.096367,12.240879,128.656158,123.143921,38.470001,39.786999,252.924896,34.139545,66.629997,39.244049,25.32,32.262936,291.418823,63.044357,102.829727,86.296486,127.033195,43.740002,34.139252,159.561752,137.912888,64.048668,42.817173,12.719069,55.713245,52.094154,53.207741,43.77,65.378609,10.054257,70.170731,85.065834,52.200054,65.094269,74.215607,41.514008,37.687443,88.098274,55.79509,87.665627,32.333172,27.120796,49.773037,81.754288,26.69972,29.735762,68.901505,41.74868,31.324659,140.880417,98.877831,38.862751,70.848457,49.380001,185.918808,115.643074,627.030029,51.622612,15.7967,236.809998,157.429642,86.175743,109.277519,42.862427,74.187553,72.161819,59.488411,275.26001,74.034058,22.129999,47.467228,248.490005,382.950012,61.386173,67.142265,53.860355,47.71455,162.460007
"2018-01-05",1110.290039,1102.22998,116.253151,127.782303,155.895767,66.54422,28.100937,76.061165,30.365211,69.360001,108.099998,241.070007,55.458187,80.268539,30.083284,121.494652,159.513962,154.818405,479.972626,40.046532,95.85199,24.50355,36.919456,12.262519,128.816284,124.562431,38.619999,39.855148,253.91803,34.247528,67.290001,39.307049,25.969999,32.483383,291.107147,62.91106,102.740433,87.3535,128.355026,43.529999,33.855572,160.666611,139.195969,63.880203,43.338913,12.830415,56.271854,53.031326,52.877102,43.98,65.99382,10.054257,70.055473,84.68708,52.163696,64.73822,74.779945,41.217098,37.860008,88.447945,55.409451,88.419533,33.011749,27.05312,49.674904,82.949524,26.868057,29.563194,68.983826,41.908203,31.280317,142.544052,99.809082,38.754871,70.992073,49.220001,186.20752,114.481544,637.349976,52.065758,15.996657,242.339996,156.866867,86.270332,109.098396,42.755657,74.757027,72.078812,59.727978,276.670013,75.769974,22,48.940315,249.050003,385.100006,61.199142,70.109261,53.470322,47.895683,166.479996
"2018-01-08",1114.209961,1106.939941,116.72261,129.556931,156.36702,66.640396,27.90637,76.783791,30.027447,68.510002,108.860001,248.899994,55.298374,79.860573,30.170055,120.841957,159.611191,156.933121,483.55249,39.842739,96.135902,24.653011,36.201649,12.428424,129.056488,129.981033,39.380001,40.212982,256.534302,33.761612,67.425003,38.451977,25.809999,31.726181,291.144897,63.461987,103.35553,87.891426,128.528732,43.549999,34.219032,160.68634,140.106567,63.796001,43.802696,12.804721,56.3909,53.752228,53.063614,44.419998,65.652046,10.054257,70.161125,84.977753,52.781769,65.293991,75.594086,41.693954,38.015308,88.710205,57.162365,87.926575,32.91618,27.137714,49.635654,82.883591,27.279541,29.336136,69.084427,42.209518,31.484301,142.195404,100.251648,38.880733,70.857445,48.900002,188.107101,114.349327,633.179993,52.23954,16.025223,258.839996,156.503815,85.276871,109.635796,43.198009,75.344864,71.534714,60.1273,279.149994,75.588745,22.370001,49.24995,251,372.519989,60.816139,69.501572,52.708847,48.042313,165.940002
"2018-01-09",1112.790039,1106.26001,116.497658,131.006363,156.592819,66.736595,28.045345,77.622055,29.994497,68.480003,109.150002,251.440002,55.392387,79.795662,29.962263,121.779655,160.614731,154.54924,487.616394,39.824219,95.541435,24.40683,36.129864,11.930709,131.521103,128.080261,39.836666,39.710327,255.665329,33.644638,68.144997,38.226944,27.959999,32.234188,293.156616,62.715576,103.980553,88.06131,129.387466,43.48,33.828972,161.337402,137.027161,63.618176,43.870319,13.044542,56.207745,53.770245,52.029305,44.220001,65.105186,10.054257,69.978638,83.682991,52.100063,65.03347,76.102913,41.127121,38.127483,89.42897,58.810097,88.139221,33.116886,26.9939,50.175385,83.773834,26.8587,29.054579,69.185028,42.227364,31.271446,140.621445,100.021141,38.242455,73.624672,48.57,188.796188,116.294662,649.98999,51.967964,16.07283,256.200012,158.763931,85.948639,109.047203,43.083614,75.298958,72.152603,59.807858,279.790009,75.81768,21.65,49.221798,256.119995,368.649994,60.40641,69.430077,51.993813,48.447689,170.539993
"2018-01-10",1110.140015,1102.609985,116.370522,129.798508,156.946259,65.822777,28.304768,77.986275,30.043926,73.080002,108.800003,248.309998,55.307781,79.832756,29.266945,121.448708,159.309158,153.357239,485.452026,39.490726,93.092552,23.967228,36.498344,12.608757,133.12262,125.735069,39.5,39.156544,255.913651,33.140732,68.504997,38.181942,27.52,32.512131,290.531036,61.755932,102.750366,87.749893,129.049728,43.52,33.642815,158.713379,136.571808,63.197052,43.242298,13.258667,56.180275,54.653355,51.469761,43.560001,66.65786,10.054257,69.479202,82.714157,51.336563,64.477722,74.937225,40.470314,38.740067,90.099182,59.651489,87.781601,32.180241,26.350988,50.253887,83.444115,26.409811,29.090912,68.43502,40.906078,30.890091,140.402283,99.735306,37.918823,74.625214,48.41,188.218842,116.209656,646.190002,51.363487,16.04427,254.529999,160.434082,85.229576,109.746674,43.274277,75.749023,73.286888,59.816734,272.089996,74.902016,22.83,49.72847,249.800003,366.459991,60.157036,69.206665,52.615986,48.025055,170.470001
"2018-01-11",1112.050049,1105.52002,117.211647,130.40242,157.986938,65.851631,28.406683,78.038292,30.118059,76.449997,109.099998,252.910004,55.685627,80.101639,29.155058,121.660149,158.812241,152.45372,491.251068,39.379562,92.001228,24.116693,36.790241,12.601543,134.786453,127.37104,39.996666,38.551643,258.950043,33.07774,68.915001,39.352058,27.43,33.652748,292.363281,61.07172,103.176956,88.193428,130.024261,44.5,34.050602,155.369247,136.447662,63.880203,43.860668,13.387143,56.061226,55.698662,51.011948,43.549999,67.937111,10.054257,69.853775,81.898445,51.036613,65.841087,73.975067,39.939468,39.085201,90.196312,60.57177,86.805374,32.992638,26.9939,50.54829,83.328712,26.755829,30.144466,68.188057,40.84359,31.031994,142.036026,102.593582,38.718918,75.625748,49.25,191.952866,118.428856,639.26001,50.890408,16.263268,258.329987,161.559616,87.03672,113.081886,44.509811,77.145134,74.107643,60.57098,271.720001,74.863861,24.01,51.342297,251.210007,368.26001,59.551361,70.618675,53.656055,48.007809,170.279999
"2018-01-12",1130.650024,1122.26001,117.456154,131.164291,159.371246,65.736206,28.897736,78.957474,30.101589,78.400002,110.239998,258.429993,55.581711,80.648712,29.490726,123.857277,160.283463,152.098053,507.333252,39.342506,91.894753,24.06394,37.460201,12.522198,135.09787,126.264618,40.276669,38.202332,259.580292,33.032753,68.610001,39.172043,27.459999,33.576077,297.652344,59.943233,102.442818,88.750252,131.114548,44.849998,34.032871,153.830338,137.010559,63.992508,44.363091,13.575574,56.207745,56.563744,50.15567,43.709999,67.634399,10.054257,69.997864,81.231293,50.463989,66.457619,73.919571,39.597561,39.275009,89.603806,62.657734,87.027695,32.954411,27.289982,51.794579,83.493584,26.839998,30.762068,68.252075,40.629326,31.271446,143.082016,102.658127,39.590927,76.049408,49.48,193.610352,120.43084,650.599976,50.680153,16.329922,258.269989,162.04071,86.856956,113.960503,44.746243,77.374763,74.245964,61.405102,274.070007,75.932121,24.33,51.173409,248.369995,366.959991,60.263912,70.40419,54.631115,48.249313,171.639999
"2018-01-16",1130.699951,1121.76001,117.749565,130.365234,159.33194,65.091736,28.944054,77.448631,30.15102,77.489998,108.889999,263.880005,55.203865,79.081718,29.346865,124.583527,158.120499,153.289993,514.15509,39.824219,93.447472,24.195818,36.65147,12.507769,136.144028,121.044571,40.023335,38.048985,257.412811,33.086742,68.754997,36.64278,26.98,34.534561,295.187256,59.978764,103.772209,88.778572,129.609329,44.32,34.103794,157.687439,136.62146,63.721115,44.097385,13.42997,56.5191,56.113182,50.240448,43.75,67.165665,10.054257,69.296715,82.014076,50.409451,65.363464,72.781631,39.822495,39.042057,88.79763,63.613071,86.950378,32.266262,26.858553,51.215588,83.303978,26.091846,29.708513,68.983826,41.459587,30.828005,140.860504,101.118347,38.889706,74.37281,47.990002,190.909943,119.694252,649.419983,51.188274,16.158529,260.290009,161.368988,85.967552,112.604225,44.84539,76.557304,72.798134,60.952557,274.48999,75.522003,24.530001,50.235134,249.110001,370.209991,60.798317,70.994019,55.188286,48.533951,171
