"","X1","X2","p_values"
"new_pair","AAPL","TGT",0.01
"new_pair.1","MSFT","FTV",0.01
"new_pair.2","AMZN","CTAS",0.01
"new_pair.3","GOOGL","GOOG",0.01
"new_pair.4","TSLA","LHX",0.01
"new_pair.5","NVDA","BBY",0.01
"new_pair.6","JPM","LDOS",0.01
"new_pair.7","JNJ","WMT",0.01
"new_pair.8","V","UNP",0.01
"new_pair.9","UNH","XOM",0.01
"new_pair.10","HD","KMX",0.01
"new_pair.11","PG","BKNG",0.01
"new_pair.12","PYPL","NKE",0.01
"new_pair.13","MA","BAX",0.01
"new_pair.14","BAC","RTX",0.01
"new_pair.15","ADBE","SPGI",0.01
"new_pair.16","PFE","UAL",0.01
"new_pair.17","CRM","ALGN",0.01
"new_pair.18","CSCO","GM",0.01
"new_pair.19","VZ","PPL",0.01
"new_pair.20","INTC","CHTR",0.01
"new_pair.21","ABT","LLY",0.01
"new_pair.22","TMO","NEM",0.01
"new_pair.23","ACN","TTWO",0.01
"new_pair.24","ABBV","ZTS",0.01
"new_pair.25","WFC","WMB",0.01
"new_pair.26","T","TRV",0.01
"new_pair.27","DHR","COST",0.01
"new_pair.28","MRK","AMAT",0.01
"new_pair.29","MDT","ZBH",0.01
"new_pair.30","ORCL","BMY",0.01
"new_pair.31","LIN","RE",0.01
"new_pair.32","NEE","UPS",0.01
"new_pair.33","MS","GE",0.01
"new_pair.34","C","CERN",0.01
"new_pair.35","INTU","SYK",0.01
"new_pair.36","SBUX","FLT",0.01
"new_pair.37","GS","GD",0.01
"new_pair.38","AMD","HPQ",0.01
"new_pair.39","AMGN","GRMN",0.01
"new_pair.40","AMT","XLNX",0.01
"new_pair.41","BA","ATVI",0.01
"new_pair.42","BLK","MDLZ",0.01
"new_pair.43","ISRG","CSX",0.01
"new_pair.44","NOW","MCO",0.01
"new_pair.45","MMM","PPG",0.01
"new_pair.46","AXP","GNRC",0.01
"new_pair.47","ANTM","COO",0.01
"new_pair.48","LRCX","CI",0.01
"new_pair.49","CCI","CNP",0.01
"new_pair.50","TJX","LUMN",0.01
"new_pair.51","TMUS","ALLE",0.01
"new_pair.52","FIS","DPZ",0.01
"new_pair.53","DUK","ICE",0.01
"new_pair.54","PNC","ALB",0.01
"new_pair.55","COP","CZR",0.01
"new_pair.56","MMC","BXP",0.01
"new_pair.57","CME","HLT",0.01
"new_pair.58","COF","EQIX",0.01
"new_pair.59","ADSK","MPC",0.01
"new_pair.60","ILMN","ROP",0.01
"new_pair.61","EW","SO",0.01
"new_pair.62","BDX","VFC",0.01
"new_pair.63","FDX","CAG",0.01
"new_pair.64","FISV","CF",0.01
"new_pair.65","HCA","REG",0.01
"new_pair.66","ITW","RMD",0.01
"new_pair.67","NSC","SNPS",0.01
"new_pair.68","APD","TWTR",0.01
"new_pair.69","BSX","MGM",0.01
"new_pair.70","ADI","MPWR",0.01
"new_pair.71","NXPI","XEL",0.01
"new_pair.72","IDXX","WAB",0.01
"new_pair.73","WM","DAL",0.01
"new_pair.74","DG","HSIC",0.01
"new_pair.75","ECL","LNT",0.01
"new_pair.76","KLAC","FRC",0.01
"new_pair.77","NOC","AEP",0.01
"new_pair.78","HUM","CNC",0.01
"new_pair.79","F","HSY",0.01
"new_pair.80","FCX","EOG",0.01
"new_pair.81","CMG","TDG",0.01
"new_pair.82","VRTX","K",0.01
"new_pair.83","GPN","BR",0.01
"new_pair.84","MSCI","CPRT",0.01
"new_pair.85","TEL","ANET",0.01
"new_pair.86","A","KMB",0.01
"new_pair.87","EXC","SBAC",0.01
"new_pair.88","MET","SYF",0.01
"new_pair.89","INFO","NOV",0.01
"new_pair.90","SPG","RSG",0.01
"new_pair.91","APH","HBAN",0.01
"new_pair.92","AIG","NUE",0.01
"new_pair.93","BK","FMC",0.01
"new_pair.94","ORLY","JNPR",0.01
"new_pair.95","EBAY","IFF",0.01
"new_pair.96","MSI","VRSK",0.01
"new_pair.97","PH","NCLH",0.01
"new_pair.98","SYY","NTAP",0.01
"new_pair.99","MAR","ANSS",0.01
"new_pair.100","WELL","HOLX",0.01
"new_pair.101","PXD","BKR",0.01
"new_pair.102","CMI","ENPH",0.01
"new_pair.103","PEG","SIVB",0.01
"new_pair.104","AWK","MCK",0.01
"new_pair.105","AVB","ED",0.01
"new_pair.106","WST","JKHY",0.01
"new_pair.107","STT","TYL",0.01
"new_pair.108","ES","CINF",0.01
"new_pair.109","WEC","AJG",0.01
"new_pair.110","ZBRA","DLTR",0.01
"new_pair.111","EQR","EVRG",0.01
"new_pair.112","ARE","NTRS",0.01
"new_pair.113","LEN","AMCR",0.01
"new_pair.114","CDW","MAA",0.01
"new_pair.115","ODFL","TXT",0.01
"new_pair.116","LYB","PENN",0.01
"new_pair.117","WAT","PAYC",0.01
"new_pair.118","VMC","WU",0.01
"new_pair.119","URI","IEX",0.01
"new_pair.120","HIG","HST",0.01
"new_pair.121","DTE","MKC",0.01
"new_pair.122","ETSY","FE",0.01
"new_pair.123","AEE","OXY",0.01
"new_pair.124","QRVO","DGX",0.01
"new_pair.125","VRSN","NLOK",0.01
"new_pair.126","ETR","ESS",0.01
"new_pair.127","STE","NI",0.01
"new_pair.128","TSN","CMS",0.01
"new_pair.129","CRL","DRI",0.01
"new_pair.130","CFG","GL",0.01
"new_pair.131","NVR","TFX",0.01
"new_pair.132","VTRS","SNA",0.01
"new_pair.133","AES","ATO",0.01
"new_pair.134","RJF","JBHT",0.01
"new_pair.135","UDR","CHRW",0.01
"new_pair.136","CAH","CTXS",0.01
"new_pair.137","PHM","NWL",0.01
"new_pair.138","SJM","TAP",0.01
"new_pair.139","WHR","UHS",0.01
"new_pair.140","PKG","PBCT",0.01
"new_pair.141","PNR","ALK",0.01
"new_pair.142","HRL","SEE",0.01
"new_pair.143","L","DXC",0.01
"new_pair.144","NRG","GPS",0.01
"new_pair.145","AOS","PNW",0.01
"new_pair.146","BEN","COG",0.01
"new_pair.147","BIIB","KMI",0.0106653650161295
"new_pair.148","AME","LUV",0.0107780609642516
"new_pair.149","DRE","UAA",0.0114284195357436
"new_pair.150","CL","CPB",0.0118331994651426
"new_pair.151","IT","J",0.0120132427718004
"new_pair.152","EL","AZO",0.0126588941328974
"new_pair.153","CHD","WYNN",0.0126929067935888
"new_pair.154","PWR","VNO",0.0127309787438777
"new_pair.155","CDNS","EXPE",0.012816066148412
"new_pair.156","HPE","HII",0.0128624515576744
"new_pair.157","WY","PVH",0.0133689873387005
"new_pair.158","BBWI","CBOE",0.0142028770509288
"new_pair.159","KEYS","POOL",0.0144720889484106
"new_pair.160","BLL","LVS",0.0157445985513368
"new_pair.161","CTLT","DVA",0.0157756282611092
"new_pair.162","CE","DVN",0.0158338672675805
"new_pair.163","FITB","O",0.016180557933829
"new_pair.164","LNC","DISH",0.0165496114027276
"new_pair.165","IVZ","ALXN",0.0167410228438127
"new_pair.166","KO","D",0.0175468224900824
"new_pair.167","AON","MCHP",0.0178776987935323
"new_pair.168","ROK","RCL",0.0184326916647242
"new_pair.169","FB","TROW",0.0185033669993294
"new_pair.170","MOS","DISCK",0.0187606241548783
"new_pair.171","AAL","UA",0.0196499541663845
"new_pair.172","MCD","CTSH",0.0197634582520433
"new_pair.173","MU","AKAM",0.0198065888253748
"new_pair.174","SWKS","FANG",0.0198336276794612
"new_pair.175","KIM","RL",0.020355137192414
"new_pair.176","MTD","GIS",0.0204231847658524
"new_pair.177","XRAY","NLSN",0.0206201306787621
"new_pair.178","WLTW","EIX",0.0206725590725307
"new_pair.179","DLR","GWW",0.0230293212634495
"new_pair.180","KR","GPC",0.0231283849103189
"new_pair.181","YUM","MLM",0.0240327499963144
