"","X1","X2","matrix.0..dim.pairs..1...1."
"1","TER","MCD","2016-9-22"
"2","DRI","MKC","2017-3-11"
"3","VRSN","ADM","2006-12-22"
"4","ETR","MDT","2013-4-14"
"5","GILD","CCL","2015-8-5"
"6","FIS","RF","2006-12-24"
"7","GNRC","POOL","2011-6-22"
"8","RE","GPN","2001-11-16"
"9","RJF","FFIV","2006-10-15"
"10","NVR","ILMN","2007-9-12"
"11","BMY","CAG","2006-10-15"
"12","HLT","MOS","2015-8-28"
"13","PWR","CCI","2004-6-5"
"14","ADBE","PEP","2014-9-27"
"15","EXC","UHS","2003-8-28"
"16","XEL","NUE","2008-12-15"
"17","PEG","LVS","2006-9-14"
"18","ETSY","AAPL","2017-10-12"
"19","TGT","CB","2003-12-13"
"20","SCHW","FLT","2015-8-17"
"21","JBHT","UPS","2007-8-13"
"22","JPM","CHRW","2004-3-4"
"23","CBOE","CL","2011-5-17"
"24","BBY","TEL","2010-5-12"
"25","TPR","ANET","2015-6-10"
"26","BKNG","WST","2009-2-24"
"27","ATO","ALLE","2016-4-11"
"28","PRGO","LIN","2013-11-15"
"29","INFO","PHM","2015-10-19"
"30","ABMD","NLSN","2012-1-22"
"31","BLK","DUK","2009-11-8"
"32","UDR","CME","2016-10-15"
"33","CNP","AFL","2011-3-24"
"34","ZBH","LHX","2010-5-11"
"35","VFC","TFX","2004-3-13"
"36","ADP","KR","2013-5-18"
"37","AJG","DRE","2000-4-24"
"38","RCL","INTC","2002-4-13"
"39","IRM","MCHP","2001-4-25"
"40","CVX","KMX","2011-8-13"
"41","CI","NWSA","2013-10-25"
"42","GWW","AVB","2016-9-15"
"43","TSN","EMN","2000-4-24"
"44","ALL","TDY","2002-11-15"
"45","PLD","MMC","2005-3-27"
"46","DHI","V","2016-3-2"
"47","EMR","NDAQ","2004-4-3"
"48","GLW","HOLX","2000-1-19"
"49","AMT","USB","2005-9-16"
"50","ODFL","PM","2009-4-21"
"51","IDXX","UA","2017-1-6"
"52","GRMN","XOM","2010-8-20"
"53","C","GD","2007-8-7"
"54","CE","LLY","2015-6-6"
"55","EXPD","CAH","2013-6-18"
"56","ED","EW","2004-4-13"
"57","ROL","HST","2004-9-15"
"58","EA","BKR","2010-1-23"
"59","K","RMD","2012-1-11"
"60","COP","L","2017-6-17"
"61","KEYS","WRK","2017-1-11"
"62","APH","CVS","2010-3-23"
"63","REGN","CDNS","2000-8-17"
