,0,1,2
0,"[ 6.21162912  1.48966178  3.88372728  1.01513412 -1.53792981 -2.10668334
 -1.95426748 -1.43507206]",0 days 05:36:27.465698000,3500.848305967956
1,"[ 7.10315035  1.68705389  4.30455457  1.14584635 -2.07215575 -1.48352922
 -1.44922534 -2.15123176]",0 days 05:49:29.535014000,3510.1656028388365
2,"[ 1.64183839  0.43973548  1.6438826   0.4232683  -2.5314551  -1.51580762
 -3.01150129 -1.41554123]",0 days 05:45:54.430218000,3483.62982844503
3,"[ 1.63995348  0.36858371  6.55271988  1.67993079 -1.3248041  -4.21833199
 -4.06906737 -1.34272399]",0 days 07:21:58.028351000,3482.674130675437
4,"[ 3.06443993  0.90682819  3.92667966  0.89981279 -3.66978417 -1.37929135
 -1.54174832 -1.77136828]",0 days 09:03:44.001571000,3511.7345378489213
5,"[ 4.30274292  1.10856722  6.38804242  1.59856604 -1.93185632 -1.55085489
 -1.78166249 -1.64715463]",0 days 05:58:24.747976000,3491.4904745504864
6,"[ 4.17334092  1.04253525  0.20791723  0.06222515 -1.62378307 -1.94821912
 -1.5178256  -1.99946372]",0 days 09:59:47.283255000,3495.9920539125033
7,"[ 9.18850241  2.0817748   1.4625929   0.39397755 -2.13460001 -1.56453603
 -3.68255028 -1.42386951]",0 days 09:36:09.556508000,3489.743049452931
8,"[ 7.11395251  1.70391775  4.70334564  1.25760536 -3.58903255 -1.39833492
 -4.79308242 -1.40737261]",0 days 07:26:03.625624000,3507.802340532382
9,"[ 5.86102756  1.26668801  2.77832035  0.68949396 -1.39920976 -3.51413851
 -2.41951717 -1.46293372]",0 days 05:48:02.075724000,3495.974296538085
10,"[  4.68767433   1.1975134    1.57827451   0.42377109  -1.95547686
  -1.60256779 -10.16994915  -1.43738029]",0 days 10:00:49.802116000,3466.0613901985084
11,"[ 1.58645305  0.33152246  4.12131756  0.91608802 -3.52868333 -1.27298334
 -1.91242319 -1.62411813]",0 days 05:40:04.054308000,3494.8009141388125
12,"[ 1.62979925  0.3912      5.54610839  1.25434212 -1.76666892 -1.79920788
 -2.74024275 -1.41376642]",0 days 12:13:45.360683000,3484.126341379366
13,"[  3.27663038   0.79487547   8.54440801   2.11143593 -10.4666447
  -1.36292601  -1.40648953  -2.83193602]",0 days 05:22:15.669155000,3492.0065262668877
14,"[ 4.4199044   1.10232312  6.32670672  1.46666087 -1.48261946 -1.71902189
 -2.473649   -1.4570436 ]",0 days 10:11:26.140927000,3509.8029298670313
15,"[ 1.97635502  0.44004991  1.36359255  0.36498768 -4.32119349 -1.26642029
 -1.76878477 -1.54699583]",0 days 07:06:18.296490000,3469.0573425509906
16,"[11.73645571  2.81734426  4.90237157  1.32146004 -2.28424397 -1.36610956
 -2.74797497 -1.47650332]",0 days 09:06:23.541759000,3541.938306616451
17,"[ 6.01735625  1.56507518  2.21792075  0.51653769 -1.5792412  -2.15553474
 -2.30139234 -1.51886956]",0 days 07:49:14.630871000,3500.2954078014586
18,"[ 5.92401011  1.48555941  2.17391722  0.5111157  -1.65437402 -1.80154631
 -1.91030382 -1.60380399]",0 days 04:38:49.397953000,3485.9115136185137
19,"[ 5.72328291  1.28799079  4.36164873  1.0381094  -2.99970328 -1.45707493
 -1.43077096 -2.13833944]",0 days 06:54:02.552334000,3482.4885152800352
